	5.72 	6.33 	0.46 	0.20 	0.21 	0.60 	0.73 	0.85 	1.22 	1.81 	2.56 	3.60 	5.26 	8.20 	12.05 	19.23 	30.59 	48.52 	80.05 
	6.96 	6.85 	0.53 	0.23 	0.25 	0.80 	1.01 	1.22 	1.76 	2.62 	3.68 	5.09 	7.32 	10.95 	16.01 	24.59 	35.87 	55.68 	89.47 
	4.43 	5.76 	0.38 	0.17 	0.17 	0.39 	0.43 	0.46 	0.66 	0.97 	1.40 	2.07 	3.18 	5.49 	8.32 	13.88 	23.98 	39.91 	70.46 
	5.71 	5.94 	0.45 	0.17 	0.18 	0.53 	0.68 	0.89 	1.17 	1.73 	2.46 	3.51 	5.06 	7.67 	11.67 	18.46 	29.80 	47.43 	78.10 
	6.91 	6.22 	0.46 	0.18 	0.20 	0.72 	0.95 	1.28 	1.69 	2.50 	3.54 	5.03 	7.03 	10.42 	15.53 	23.42 	35.00 	54.36 	86.76 
	4.47 	5.63 	0.44 	0.16 	0.15 	0.33 	0.40 	0.49 	0.63 	0.93 	1.35 	1.98 	3.08 	4.97 	8.04 	13.73 	23.54 	39.00 	69.19 
	5.82 	5.32 	0.41 	0.21 	0.19 	0.50 	0.66 	0.84 	1.22 	1.72 	2.46 	3.50 	5.09 	7.46 	11.54 	18.27 	29.26 	46.89 	75.36 
	7.01 	5.34 	0.45 	0.24 	0.20 	0.66 	0.92 	1.20 	1.76 	2.50 	3.60 	5.00 	7.07 	10.04 	15.28 	23.21 	34.63 	53.53 	83.84 
	4.57 	5.31 	0.37 	0.18 	0.17 	0.33 	0.39 	0.47 	0.65 	0.92 	1.29 	1.98 	3.11 	4.91 	8.01 	13.69 	23.14 	38.78 	66.54 
	5.95 	5.91 	0.38 	0.16 	0.18 	0.54 	0.66 	0.84 	1.21 	1.76 	2.55 	3.58 	5.06 	7.35 	11.26 	17.57 	28.83 	45.97 	76.27 
	7.24 	6.45 	0.39 	0.17 	0.18 	0.76 	0.91 	1.21 	1.77 	2.58 	3.66 	5.13 	7.08 	10.24 	15.03 	22.59 	35.17 	53.97 	84.39 
	4.61 	5.31 	0.38 	0.16 	0.17 	0.31 	0.40 	0.46 	0.65 	0.91 	1.40 	2.01 	3.03 	4.51 	7.68 	12.99 	22.05 	36.22 	67.71 
	6.15 	5.50 	0.40 	0.17 	0.19 	0.53 	0.69 	0.97 	1.29 	1.81 	2.59 	3.62 	5.04 	7.37 	11.33 	17.24 	28.11 	46.41 	74.92 
	7.53 	5.82 	0.44 	0.19 	0.21 	0.69 	0.94 	1.40 	1.88 	2.69 	3.85 	5.26 	7.06 	10.19 	15.51 	22.53 	34.73 	54.36 	84.63 
	4.72 	5.15 	0.35 	0.15 	0.16 	0.35 	0.44 	0.53 	0.70 	0.91 	1.29 	1.95 	3.02 	4.61 	7.34 	12.46 	21.50 	36.88 	64.51 
	5.98 	5.46 	0.32 	0.16 	0.18 	0.48 	0.64 	0.88 	1.24 	1.80 	2.62 	3.52 	5.01 	7.11 	10.53 	16.15 	26.56 	42.97 	68.88 
	7.35 	5.89 	0.38 	0.18 	0.22 	0.66 	0.88 	1.24 	1.84 	2.71 	3.88 	5.22 	7.13 	9.78 	14.14 	21.17 	33.38 	50.40 	78.17 
	4.56 	4.99 	0.27 	0.14 	0.14 	0.28 	0.40 	0.50 	0.63 	0.86 	1.32 	1.81 	2.89 	4.49 	7.10 	11.62 	20.14 	34.33 	58.76 
	6.13 	5.48 	0.30 	0.16 	0.15 	0.41 	0.61 	0.78 	1.12 	1.67 	2.52 	3.50 	4.82 	6.87 	10.40 	16.20 	26.14 	43.13 	69.11 
	7.46 	6.08 	0.33 	0.16 	0.18 	0.55 	0.82 	1.07 	1.63 	2.52 	3.78 	5.09 	6.83 	9.53 	13.98 	21.29 	33.25 	51.41 	77.69 
	4.76 	4.83 	0.27 	0.15 	0.11 	0.25 	0.38 	0.48 	0.60 	0.81 	1.25 	1.89 	2.82 	4.27 	6.99 	11.59 	19.73 	33.91 	59.68 
	6.24 	5.00 	0.37 	0.15 	0.14 	0.40 	0.56 	0.72 	1.10 	1.66 	2.50 	3.48 	4.71 	6.66 	10.20 	15.45 	25.94 	42.43 	69.16 
